1521194745,501
1521194760,500
1521194766,501
1521194777,500
1521194792,501
1521194807,500
1521194817,501
1521194823,502
1521194838,501
1521194853,502
1521194858,503
1521194873,504
1521194886,505
1521194895,506
1521194901,507
1521194906,508
1521194911,507
1521194925,506
1521194933,507
1521194938,508
1521194947,507
1521194960,508
1521194970,507
1521194982,506
1521194995,507
1521195007,506
1521195013,507
1521195023,506
1521195031,507
1521195038,508
1521195045,509
1521195057,510
1521195072,511
1521195078,512
1521195085,511
1521195092,512
1521195099,513
1521195107,514
1521195114,513
1521195124,514
1521195138,513
1521195149,514
1521195157,515
1521195170,516
1521195181,515
1521195186,514
1521195199,515
1521195205,516
1521195215,517
1521195223,516
1521195236,515
1521195246,514
1521195257,513
1521195269,512
1521195282,513
1521195287,512
1521195302,511
1521195316,510
1521195331,511
1521195340,510
1521195355,509
1521195368,508
1521195382,509
1521195391,508
1521195404,507
1521195419,506
1521195426,505
1521195432,504
1521195443,505
1521195449,506
1521195460,507
1521195470,506
1521195475,505
1521195481,504
1521195488,503
1521195493,502
1521195508,503
1521195518,502
1521195532,501
1521195538,500
1521195547,501
1521195556,500
1521195562,499
1521195577,500
1521195582,501
1521195590,500
1521195595,501
1521195601,500
1521195614,501
1521195623,502
1521195631,503
1521195638,504
1521195645,505
1521195656,504
1521195661,505
1521195674,506
1521195683,505
1521195691,504
1521195701,505
1521195714,506
1521195723,507
1521195733,508
1521195748,507
1521195759,508
1521195770,509
1521195778,508
1521195785,507
1521195792,508
1521195798,507
1521195807,506
1521195822,505
1521195829,504
1521195844,505
1521195850,504
1521195859,503
1521195866,504
1521195878,505
1521195884,504
1521195892,503
1521195902,502
1521195909,501
1521195914,502
1521195927,503
1521195938,502
1521195948,501
1521195959,502
1521195966,503
1521195977,502
1521195986,503
1521196001,502
1521196015,501
1521196028,502
1521196035,501
1521196047,500
1521196059,499
1521196071,498
1521196084,497
1521196098,498
1521196106,499
1521196113,500
1521196126,499
1521196136,500
1521196147,501
1521196161,502
1521196172,503
1521196179,502
1521196184,503
1521196190,502
1521196202,503
1521196212,504
